PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Embarked_clean,Age_registrada,Age_clean,Cabin_registrada,Cabin_letra,class,who,adult_male,deck,embark_town,alone,Sex_bin,Title,Title_agrupado,FamilySize,IsAlone,AgeGroup,Fare_log,FareBand,Deck_combinado
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,,S,S,1,22.0,0,,Third,man,True,,Southampton,False,0,Mr,Mr,2,0,Adulto joven (18-35),2.1102132003465894,Q1 (bajo),Desconocida
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,C,1,38.0,1,C,First,woman,False,C,Cherbourg,False,1,Mrs,Mrs,2,0,Adulto (36-60),4.2805931204649,Q4 (alto),C
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,,S,S,1,26.0,0,,Third,woman,False,,Southampton,True,1,Miss,Miss,1,1,Adulto joven (18-35),2.188856327665703,Q2,Desconocida
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,S,1,35.0,1,C,First,woman,False,C,Southampton,False,1,Mrs,Mrs,2,0,Adulto joven (18-35),3.9908341858524357,Q4 (alto),C
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,,S,S,1,35.0,0,,Third,man,True,,Southampton,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.2027647577118348,Q2,Desconocida
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,Q,0,25.0,0,,Third,man,True,,Queenstown,True,0,Mr,Mr,1,1,Adulto joven (18-35),2.246892662898172,Q2,Desconocida
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,S,1,54.0,1,E,First,man,True,E,Southampton,True,0,Mr,Mr,1,1,Adulto (36-60),3.967694202798607,Q4 (alto),E
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S,S,1,2.0,0,,Third,child,False,,Southampton,False,0,Master,Master,5,0,Niño (0-12),3.0944457464900235,Q3,Desconocida
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S,S,1,27.0,0,,Third,woman,False,,Southampton,False,1,Mrs,Mrs,3,0,Adulto joven (18-35),2.495953738718064,Q2,Desconocida
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C,C,1,14.0,0,,Second,child,False,,Cherbourg,False,1,Mrs,Mrs,2,0,Adolescente (13-17),3.436268471383741,Q3,Desconocida
